LocalKey,ko,en
item_battery_name,배터리,Battery
item_battery_desc,랜턴의 사용시간을 늘려주는 소중한 배터리입니다. 획득 시 랜턴 배터리로 자동 충전됩니다.,
item_lantern_name,랜턴,Flashlight
item_lantern_desc,"앞을 비추기 위한 랜턴입니다. 배터리가 일정량 들어있는 것으로 보이지만, 계속 사용하려면 추가 배터리를 찾아야 합니다. 마우스 우클릭으로 켜고 끌 수 있습니다.",
item_key_name,열쇠,Key
item_key_desc,문을 열 수 있는 열쇠입니다. ,
item_charm_name,부적,Charm
item_charm_desc,방황하는 도깨비불을 성불하기 위해 만들어진 부적입니다. 혹시 도깨비불이 네온사인으로 보인다면 가까운 안과를 찾아보십시오. 마우스 좌클릭으로 던질 수 있습니다.,
item_book_name,무언가 쓰여져 있는 책,
item_book_desc,"2020년 기준, 대한민국 전체 남성의 평균 키는 170이라고 한다. 0과 1밖에 모르는 바보같은 컴퓨터에게는 뭐라고 알려줘야 할까?",
item_diary_name,일기장,
item_diary_desc,"저녁식사를 초대받은 저택은 꽤나 멀리 있었다. 가는 길에 큰 산이 있는데, 산길을 따라 서쪽으로 쭉 들어오라고 했다. 저택은 꽤 웅장했지만, 동시에 낡아 보이기도 했다. 저택 동쪽의 정문으로 도착하여 집사의 안내를 받아 들어갔다. 집사는 곧장 나를 응접실로 안내했는데, 남쪽으로 쭉 뻗은 모습이 꽤 세련되어 보였다. 이 추억들을 사진으로 남겨 집에 걸어 둘 생각이다.",
item_ghost_name,도깨비불,
item_ghost_desc,코로나에 걸려 도깨비불이 된 불쌍한 영혼입니다. 코로나 부적으로 자신들을 성불시켜주길 바라고 있습니다.,
